ID_Artwork;FM_Field;URL_Pushed;Classification;Pushed_At
IMAGE-2026;MAINFM;https://images.operagallery.com/FM/WhatsApp_Image_2026-07-17_at_8.jpg;MAIN_HR;2026-08-17 11:58:52
JPG-1;MAINFM;https://images.operagallery.com/FM/CATEGORIE_TOUTE_LEPICERIE.jpg;MAIN_LR;2026-08-17 12:09:47
